Urban area (locality),Municipality,Population,Land area (hectares),Density (inh./km²),Code
Kärda,Värnamo Municipality,320.0,37.35,856.76,1564.0
Kärna,Kungälv Municipality,430.0,45.20,951.33,4480.0
Kärsta och Bredsdal,Västerås Municipality Enköping Municipality,261.0,27.24,958.15,6266.0
Kättilsmåla,Karlskrona Municipality,253.0,36.45,694.10,2686.0
Kättilstorp,Falköping Municipality,253.0,44.33,570.72,5344.0
Kävlinge,Kävlinge Municipality,9049.0,468.47,1931.61,3552.0
Kåge,Skellefteå Municipality,2248.0,247.35,908.83,8228.0
Kågeröd,Svalöv Municipality,1446.0,161.12,897.47,3544.0
Kåhög,Partille Municipality,832.0,47.94,1735.50,4464.0
Kållekärr,Tjörn Municipality,560.0,53.86,1039.73,4468.0
Kållered,Mölndal Municipality,7456.0,479.82,1553.92,4472.0
Kånna,Ljungby Municipality,352.0,42.78,822.81,1900.0
Kårsta,Vallentuna Municipality,457.0,44.45,1028.12,224.0
Köping,Köping Municipality,17743.0,1185.89,1496.18,6268.0
Köpingebro,Ystad Municipality,1134.0,98.16,1155.26,3556.0
Köpingsvik,Borgholm Municipality,599.0,118.17,506.90,2296.0
Köpmanholmen,Örnsköldsvik Municipality,1237.0,251.36,492.12,7540.0
Lagan,Ljungby Municipality,1744.0,272.95,638.94,1904.0
Laholm,Laholm Municipality,6150.0,465.75,1320.45,4028.0
Lammhult,Växjö Municipality,1459.0,225.33,647.49,1908.0
Landeryd,Hylte Municipality,367.0,79.74,460.25,4032.0
Landfjärden,Nynäshamn Municipality,241.0,109.93,219.23,226.0
Landsbro,Vetlanda Municipality,1426.0,185.41,769.11,1568.0
Landskrona,Landskrona Municipality,30499.0,1208.50,2523.71,3560.0
Landvetter,Härryda Municipality,7152.0,540.19,1323.98,4484.0
Lanesund och Överby,Uddevalla Municipality,347.0,65.15,532.62,4482.0
Lanna,Lekeberg Municipality Örebro Municipality,537.0,111.36,482.22,6028.0
Lanna,Värnamo Municipality Gnosjö Municipality,329.0,83.15,395.67,1572.0
Latorpsbruk,Örebro Municipality,597.0,84.82,703.84,6032.0
Laxvik,Halmstad Municipality,475.0,55.24,859.88,4034.0
Laxå,Laxå Municipality,3064.0,453.58,675.51,6036.0
Lekeryd,Jönköping Municipality,817.0,69.95,1167.98,1576.0
Leksand,Leksand Municipality,5934.0,779.38,761.37,6608.0
Lenhovda,Uppvidinge Municipality,1744.0,232.76,749.27,1912.0
Lerdala,Skövde Municipality,409.0,63.22,646.95,5348.0
Lerkil,Kungsbacka Municipality,505.0,138.69,364.12,4038.0
Lerum,Lerum Municipality,16855.0,1426.87,1181.26,4920.0
Lesjöfors,Filipstad Municipality,1062.0,245.04,433.40,5732.0
Lessebo,Lessebo Municipality,2737.0,339.83,805.40,1916.0
Liatorp,Älmhult Municipality,555.0,85.30,650.64,1920.0
Lidatorp och Klövsta,Nynäshamn Municipality,340.0,34.29,991.54,254.0
Liden,Sundsvall Municipality,254.0,64.78,392.10,7548.0
Lidhult,Ljungby Municipality,611.0,109.32,558.91,1924.0
Lidingö,Lidingö Municipality,31561.0,1250.51,2523.85,228.0
Lidköping,Lidköping Municipality,25644.0,1552.14,1652.17,5352.0
Lilla Edet,Lilla Edet Municipality,4862.0,425.93,1141.50,4924.0
Lilla Harrie,Kävlinge Municipality,371.0,40.83,908.65,3568.0
Lilla Stenby,Ekerö Municipality,244.0,25.32,963.67,230.0
Lilla Tjärby,Laholm Municipality,914.0,79.73,1146.37,4036.0
Lillhaga,Ljusdal Municipality,379.0,45.66,830.05,7178.0
Lillhärdal,Härjedalen Municipality,335.0,114.46,292.68,7904.0
Lillkyrka,Enköping Municipality,301.0,35.08,858.04,588.0
Lillpite,Piteå Municipality,429.0,165.76,258.81,8720.0
Lima,Malung-Sälen Municipality,398.0,215.80,184.43,6612.0
Limedsforsen,Malung-Sälen Municipality,441.0,316.54,139.32,6616.0
Limmared,Tranemo Municipality,1412.0,146.20,965.80,4928.0
Linderöd,Kristianstad Municipality,404.0,75.84,532.70,2988.0
Lindesberg,Lindesberg Municipality,9149.0,782.19,1169.66,6040.0
Lindholmen,Vallentuna Municipality,860.0,70.99,1211.44,232.0
Lindome,Mölndal Municipality,11037.0,729.06,1513.87,4488.0
Lindsdal,Kalmar Municipality,5510.0,359.08,1534.48,2300.0
Lindö,Norrköping Municipality,4915.0,319.86,1536.61,1144.0
Lingbo,Ockelbo Municipality,429.0,250.61,171.18,7180.0
Linghed,Falun Municipality,618.0,209.76,294.62,6620.0
Linghem,Linköping Municipality,2804.0,174.62,1605.77,1148.0
Linköping,Linköping Municipality,104232.0,4215.68,2472.48,1152.0
Linneryd,Tingsryd Municipality,488.0,120.10,406.33,1932.0
Listerby,Ronneby Municipality,883.0,131.51,671.43,2688.0
Lit,Östersund Municipality,1040.0,125.01,831.93,7908.0
Ljugarn,Gotland Municipality,238.0,155.88,152.68,2524.0
Ljung,Herrljunga Municipality,734.0,86.41,849.44,4932.0
Ljunga,Norrköping Municipality,688.0,68.41,1005.70,1156.0
Ljungaverk,Ånge Municipality,885.0,283.05,312.67,7552.0
Ljungby,Ljungby Municipality,15205.0,1193.49,1273.99,1936.0
Ljungbyhed,Klippan Municipality,2046.0,296.89,689.14,2992.0
Ljungbyholm,Kalmar Municipality,1604.0,171.92,932.99,2304.0
Ljunghusen,Vellinge Municipality,2555.0,381.39,669.92,3572.0
Ljungsarp,Tranemo Municipality,203.0,40.46,501.73,4936.0
Ljungsbro,Linköping Municipality,6620.0,420.91,1572.78,1160.0
Ljungskile,Uddevalla Municipality,3375.0,360.14,937.14,4492.0
Ljungstorp och Jägersbo,Höör Municipality,401.0,60.90,658.46,3574.0
Ljusdal,Ljusdal Municipality,6230.0,529.02,1177.65,7184.0
Ljusfallshammar,Finspång Municipality,327.0,65.47,499.47,1164.0
Ljusne,Söderhamn Municipality,1917.0,395.15,485.13,7188.0
Loftahammar,Västervik Municipality,404.0,85.52,472.40,2308.0
Lomma,Lomma Municipality,10837.0,481.99,2248.39,3576.0
Los,Ljusdal Municipality,387.0,160.73,240.78,7192.0
Lotorp,Finspång Municipality,701.0,95.91,730.89,1168.0
Lottefors,Bollnäs Municipality,392.0,137.44,285.22,7196.0
Lucksta,Sundsvall Municipality,346.0,35.65,970.55,7560.0
Ludvigsborg,Hörby Municipality,1041.0,149.02,698.56,3580.0
Ludvika,Ludvika Municipality Smedjebacken Municipality,14498.0,1099.63,1318.44,6624.0
Lugnet och Skälsmara,Värmdö Municipality,625.0,198.77,314.43,314.0
Lugnås,Mariestad Municipality,653.0,90.06,725.07,5356.0
Luleå,Luleå Municipality,46607.0,2908.97,1602.18,8724.0
Lund,Gävle Municipality,444.0,112.70,393.97,7198.0
Lund,Lund Municipality,82800.0,2575.03,3215.50,3584.0
Lunde,Kramfors Municipality,399.0,136.62,292.05,7568.0
Lundsbrunn,Götene Municipality,887.0,123.73,716.88,5360.0
Lungvik,Kramfors Municipality,349.0,125.83,277.36,7564.0
Lunnarp,Tomelilla Municipality,339.0,46.21,733.61,2996.0
Lurudden,Ekerö Municipality,205.0,44.45,461.19,246.0
Lycksele,Lycksele Municipality,8513.0,852.64,998.43,8232.0
Lyrestad,Mariestad Municipality,479.0,59.66,802.88,5364.0
Lysekil,Lysekil Municipality,7628.0,375.43,2031.80,4496.0
Lysvik,Sunne Municipality,341.0,80.96,421.20,5744.0
Läby,Uppsala Municipality,220.0,29.85,737.02,590.0
Läckeby,Kalmar Municipality,847.0,101.88,831.37,2316.0
Länghem,Tranemo Municipality,989.0,102.97,960.47,4940.0
Länna,Uppsala Municipality,685.0,95.15,719.92,592.0
Lärbro,Gotland Municipality,484.0,116.70,414.74,2528.0
Långasjö,Emmaboda Municipality,348.0,75.00,464.00,2312.0
Långsele,Sollefteå Municipality,1584.0,244.91,646.77,7572.0
Långshyttan,Hedemora Municipality,1671.0,327.54,510.17,6632.0
Långvik,Värmdö Municipality,559.0,99.52,561.70,234.0
Långviksmon,Örnsköldsvik Municipality,221.0,63.83,346.23,7576.0
Långås,Falkenberg Municipality,534.0,71.47,747.17,4040.0
Låssby,Gothenburg Municipality,251.0,30.94,811.25,4498.0
Löberöd,Eslöv Municipality Höör Municipality,1127.0,77.21,1459.66,3588.0
Löddeköpinge,Kävlinge Municipality,6290.0,361.56,1739.68,3592.0
Löderup,Ystad Municipality,550.0,62.77,876.21,3596.0
Lödöse,Lilla Edet Municipality,1266.0,127.75,991.00,4944.0
Löftaskog,Varberg Municipality,327.0,81.53,401.08,4042.0
Lögdeå,Nordmaling Municipality,394.0,115.65,340.68,8236.0
Lönsboda,Osby Municipality,1903.0,228.31,833.52,3000.0
Lörby,Sölvesborg Municipality,264.0,73.77,357.87,2692.0
Löttorp,Borgholm Municipality,438.0,127.54,343.42,2324.0
Lövestad,Sjöbo Municipality,643.0,74.64,861.47,3600.0
Lövstalöt,Uppsala Municipality,1046.0,70.70,1479.49,596.0
Lövånger,Skellefteå Municipality,761.0,131.61,578.22,8240.0
Löwenströmska lasarettet,Upplands Väsby Municipality,518.0,75.94,682.12,236.0
Madängsholm,Tidaholm Municipality,425.0,81.28,522.88,5368.0
Mala,Hässleholm Municipality,217.0,58.99,367.86,3008.0
Malmberget,Gällivare Municipality,5590.0,738.67,756.77,8732.0
Malmbäck,Nässjö Municipality,1031.0,145.67,707.76,1584.0
Malmköping,Flen Municipality,1977.0,130.62,1513.55,796.0
Malmslätt,Linköping Municipality,5214.0,262.67,1985.00,1172.0
Malmö,Malmö Municipality Burlöv Municipality,280415.0,7681.36,3650.59,3604.0
Maln,Hudiksvall Municipality,213.0,34.82,611.72,7204.0
Malung,Malung-Sälen Municipality,5126.0,938.53,546.17,6636.0
Malungsfors,Malung-Sälen Municipality,560.0,258.37,216.74,6640.0
Malå,Malå Municipality,2050.0,261.12,785.08,8244.0
Mantorp,Mjölby Municipality,3671.0,334.83,1096.38,1176.0
Marbäck,Ulricehamn Municipality,474.0,62.78,755.02,4948.0
Margretetorp,Ängelholm Municipality,214.0,35.81,597.60,3010.0
Mariannelund,Eksjö Municipality,1468.0,219.32,669.34,1588.0
Marieby,Östersund Municipality,236.0,81.90,288.16,7910.0
Mariedal,Upplands Bro Municipality,297.0,73.87,402.06,242.0
Mariefred,Strängnäs Municipality,3726.0,250.52,1487.31,800.0
Marieholm,Eslöv Municipality,1598.0,127.07,1257.57,3608.0
Marielund,Haparanda Municipality,1726.0,116.79,1477.87,8734.0
Marielund,Strängnäs Municipality,416.0,21.34,1949.39,798.0
Mariestad,Mariestad Municipality,15591.0,1096.95,1421.30,5372.0
Markaryd,Markaryd Municipality,3966.0,490.26,808.96,1940.0
Marma,Älvkarleby Municipality,298.0,68.33,436.12,600.0
Marmaskogen,Söderhamn Municipality,253.0,28.76,879.69,7212.0
Marmaverken,Söderhamn Municipality,371.0,111.62,332.38,7208.0
Marmorbyn,Vingåker Municipality,382.0,48.65,785.20,802.0
Marstrand,Kungälv Municipality,1319.0,87.51,1507.26,4504.0
Matfors,Sundsvall Municipality,3201.0,324.72,985.77,7580.0
Medle,Skellefteå Municipality,552.0,144.19,382.83,8248.0
Medåker,Arboga Municipality,224.0,52.09,430.02,6272.0
Mehedeby,Tierp Municipality,463.0,71.62,646.47,604.0
Mellansel,Örnsköldsvik Municipality,827.0,232.80,355.24,7584.0
Mellbystrand,Laholm Municipality,1619.0,270.58,598.34,4044.0
Mellerud,Mellerud Municipality,3750.0,309.76,1210.61,4952.0
Mellösa,Flen Municipality,535.0,87.18,613.67,804.0
Merlänna,Strängnäs Municipality,356.0,45.53,781.90,806.0
Misterhult,Oskarshamn Municipality,203.0,35.68,568.95,2328.0
Mjällby,Sölvesborg Municipality,1254.0,166.53,753.02,2696.0
Mjällom,Kramfors Municipality,275.0,70.57,389.68,7588.0
Mjöbäck,Svenljunga Municipality,294.0,69.71,421.75,4956.0
Mjöhult,Höganäs Municipality,292.0,36.81,793.26,3612.0
Mjölby,Mjölby Municipality,12245.0,845.49,1448.27,1180.0
Mjönäs,Hagfors Municipality,217.0,74.61,290.85,5752.0
Mockfjärd,Gagnef Municipality,1937.0,350.32,552.92,6644.0
Mogata,Söderköping Municipality,301.0,36.22,831.03,1184.0
Mohed,Söderhamn Municipality,393.0,103.09,381.22,7214.0
Moheda,Alvesta Municipality,1824.0,225.79,807.83,1944.0
Moholm,Töreboda Municipality,640.0,107.78,593.80,5376.0
Moliden,Örnsköldsvik Municipality,300.0,62.97,476.42,7592.0
Molkom,Karlstad Municipality,1863.0,242.61,767.90,5756.0
Mollösund,Orust Municipality,236.0,35.56,663.67,4508.0
Mora,Mora Municipality,10896.0,1235.57,881.86,6648.0
Mora,Säter Municipality,817.0,95.72,853.53,6652.0
Morgongåva,Heby Municipality,1409.0,159.08,885.72,6276.0
Morjärv,Kalix Municipality,201.0,96.43,208.44,8740.0
Morup,Falkenberg Municipality,259.0,52.92,489.42,4052.0
Moskosel,Arvidsjaur Municipality,232.0,91.52,253.50,8744.0
Motala,Motala Municipality,29823.0,1928.62,1546.34,1188.0
Mullhyttan,Lekeberg Municipality,503.0,145.27,346.25,6056.0
Mullsjö,Mullsjö Municipality,5452.0,505.15,1079.28,5380.0
Munga,Västerås Municipality,212.0,55.32,383.22,6278.0
Munka-Ljungby,Ängelholm Municipality,2840.0,223.32,1271.72,3012.0
Munkedal,Munkedal Municipality,3718.0,540.94,687.32,4512.0
Munkfors,Munkfors Municipality Hagfors Municipality,3054.0,731.10,417.73,5760.0
Munktorp,Köping Municipality,455.0,83.47,545.11,6280.0
Muskö,Haninge Municipality,261.0,29.69,879.08,238.0
Myckle,Skellefteå Municipality,355.0,69.03,514.27,8252.0
Myggenäs,Tjörn Municipality,1230.0,122.29,1005.81,4516.0
Myresjö,Vetlanda Municipality,646.0,90.54,713.50,1600.0
Myrviken,Berg Municipality,239.0,33.92,704.60,7912.0
Mysingsö,Oskarshamn Municipality,385.0,31.11,1237.54,2330.0
Mysterna,Gothenburg Municipality,3418.0,107.28,3186.06,4518.0
Märsta,Sigtuna Municipality,24068.0,764.17,3149.56,240.0
Målerås,Nybro Municipality,211.0,82.99,254.25,2332.0
Målilla,Hultsfred Municipality,1524.0,325.63,468.02,2336.0
Målsryd,Borås Municipality,907.0,98.59,919.97,4960.0
Månkarbo,Tierp Municipality,666.0,91.21,730.18,608.0
Måttsund,Luleå Municipality,558.0,103.52,539.03,8752.0
Möklinta,Sala Municipality,358.0,98.67,362.83,6284.0
Mölle,Höganäs Municipality,715.0,72.40,987.57,3616.0
Mölltorp,Karlsborg Municipality,1050.0,129.89,808.38,5384.0
Mölnbo,Södertälje Municipality,1052.0,116.03,906.66,244.0
Mölnlycke,Härryda Municipality Mölndal Municipality,15608.0,809.67,1927.70,4520.0
Mönsterås,Mönsterås Municipality,4731.0,410.09,1153.65,2340.0
Mörarp,Helsingborg Municipality,1893.0,114.89,1647.66,3620.0
Mörbylånga,Mörbylånga Municipality,1780.0,244.23,728.82,2344.0
Mörlunda,Hultsfred Municipality,838.0,219.36,382.02,2348.0
Mörrum,Karlshamn Municipality,3695.0,344.20,1073.50,2700.0
Mörsil,Åre Municipality,686.0,121.79,563.26,7916.0
Mörtnäs,Värmdö Municipality,1511.0,183.54,823.25,248.0
Naglarby och Enbacka,Säter Municipality,961.0,120.53,797.31,6492.0
Nedansjö,Sundsvall Municipality,257.0,44.01,583.96,7596.0
Nedre Gärdsjö,Rättvik Municipality,225.0,67.29,334.37,6660.0
Nikkala,Haparanda Municipality,435.0,123.36,352.63,8768.0
Nissafors,Gnosjö Municipality,285.0,62.27,457.68,1604.0
Nitta,Ulricehamn Municipality,354.0,30.34,1166.78,4968.0
Njurundabommen,Sundsvall Municipality,1983.0,216.23,917.08,7600.0
Njutånger,Hudiksvall Municipality,885.0,178.84,494.86,7216.0
Nogersund,Sölvesborg Municipality,495.0,51.67,958.00,2704.0
Nolvik,Gothenburg Municipality,1025.0,87.76,1167.96,4522.0
Nora,Nora Municipality,6526.0,645.07,1011.67,6060.0
Norberg,Norberg Municipality,4518.0,809.18,558.34,6292.0
Nordanö,Avesta Municipality,435.0,46.52,935.08,6664.0
Nordingrå,Kramfors Municipality,306.0,64.85,471.86,7604.0
Nordkroken,Vänersborg Municipality,423.0,39.94,1059.09,4974.0
Nordmaling,Nordmaling Municipality,2546.0,308.28,825.87,8256.0
Nordmark,Filipstad Municipality,225.0,162.80,138.21,5764.0
Nore,Ljusdal Municipality,411.0,50.40,815.48,7220.0
Norje,Sölvesborg Municipality,657.0,98.81,664.91,2708.0
Norr Amsberg,Borlänge Municipality,236.0,82.61,285.68,6666.0
Norr-Hede,Härjedalen Municipality,261.0,79.49,328.34,7920.0
Norra Bro,Örebro Municipality,687.0,73.24,938.01,6064.0
Norra Lagnö,Värmdö Municipality,332.0,88.38,375.65,250.0
Norra Riksten,Botkyrka Municipality,839.0,39.26,2137.04,282.0
Norra Rörum,Höör Municipality,204.0,33.98,600.35,3622.0
Norra Visby,Gotland Municipality,453.0,88.16,513.84,2506.0
Norra Åsum,Kristianstad Municipality,1264.0,148.35,852.04,3016.0
Norrfjärden,Piteå Municipality,1362.0,189.24,719.72,8776.0
Norrhult-Klavreström,Uppvidinge Municipality Växjö Municipality,1215.0,280.23,433.57,1948.0
Norrköping,Norrköping Municipality,87247.0,3567.55,2445.57,1192.0
Norrlandet,Gävle Municipality,329.0,114.20,288.09,7224.0
Norrskedika,Östhammar Municipality,214.0,60.46,353.95,610.0
Norrsundet,Gävle Municipality,968.0,223.78,432.57,7228.0
Norrtälje,Norrtälje Municipality,17275.0,753.70,2292.03,252.0
Norrö,Österåker Municipality,305.0,63.15,482.98,256.0
Norsesund,Alingsås Municipality Lerum Municipality,274.0,64.78,422.97,4972.0
Norsholm,Norrköping Municipality,615.0,79.94,769.33,1196.0
Norsjö,Norsjö Municipality,2051.0,240.28,853.59,8268.0
Nossebro,Essunga Municipality,1846.0,184.65,999.73,5388.0
Nusnäs,Mora Municipality,729.0,216.77,336.30,6672.0
Nya Långenäs,Härryda Municipality,268.0,23.31,1149.72,4526.0
Nyborg,Kalix Municipality,833.0,169.81,490.55,8928.0
Nybro,Nybro Municipality,12810.0,1092.55,1172.49,2352.0
Nybrostrand,Ystad Municipality,810.0,83.26,972.86,3632.0
Nygård,Lilla Edet Municipality,419.0,67.00,625.37,4978.0
Nygårds hagar,Nykvarn Municipality,328.0,38.59,849.96,262.0
Nyhammar,Ludvika Municipality,654.0,175.79,372.03,6676.0
Nykil,Linköping Municipality,321.0,36.77,872.99,1200.0
Nykroppa,Filipstad Municipality,846.0,245.42,344.72,5772.0
Nykvarn,Nykvarn Municipality,6497.0,439.33,1478.84,260.0
Nykyrka,Motala Municipality,414.0,49.74,832.33,1204.0
Nyköping,Nyköping Municipality,29891.0,1343.30,2225.19,812.0
Nyland,Kramfors Municipality,903.0,262.52,343.97,7616.0
Nymölla,Bromölla Municipality,272.0,114.65,237.24,3020.0
Nynäshamn,Nynäshamn Municipality,13510.0,667.58,2023.73,264.0
Nälden,Krokom Municipality,873.0,128.78,677.90,7932.0
Näs bruk,Avesta Municipality,207.0,57.56,359.62,6684.0
Nässjö,Nässjö Municipality,16678.0,1143.66,1458.30,1608.0
Näsum,Bromölla Municipality,1117.0,119.58,934.10,3024.0
Näsviken,Hudiksvall Municipality,924.0,182.53,506.22,7232.0
Näsviken,Strömsund Municipality,203.0,64.88,312.89,7934.0
Näsåker,Sollefteå Municipality,513.0,97.87,524.16,7620.0
Nättraby,Karlskrona Municipality,3109.0,276.76,1123.36,2712.0
Nävekvarn,Nyköping Municipality,795.0,111.49,713.07,816.0
Nävragöl,Karlskrona Municipality,210.0,32.11,654.00,2716.0
Nås,Vansbro Municipality,417.0,170.84,244.09,6680.0
Nöbbele,Växjö Municipality,257.0,55.96,459.26,1952.0
Nödinge-Nol,Ale Municipality,9822.0,598.67,1640.64,4976.0
Obbola,Umeå Municipality,2197.0,256.08,857.94,8280.0
Ockelbo,Ockelbo Municipality,2724.0,416.57,653.91,7236.0
Odensbacken,Örebro Municipality,1374.0,146.76,936.22,6076.0
Odensberg,Falköping Municipality,287.0,31.51,910.82,5392.0
Odensjö,Jönköping Municipality,2495.0,182.13,1369.90,1612.0
Oleby,Torsby Municipality,353.0,110.79,318.62,5780.0
Olofstorp,Gothenburg Municipality,3378.0,251.44,1343.46,4528.0
Olofström,Olofström Municipality,7327.0,704.42,1040.15,2720.0
Olsfors,Bollebygd Municipality,623.0,55.96,1113.30,4984.0
Olshammar,Askersund Municipality,271.0,84.75,319.76,6080.0
Olstorp,Lerum Municipality,1281.0,165.45,774.25,4986.0
Onsala,Kungsbacka Municipality,11951.0,1052.96,1134.99,4054.0
Onslunda,Tomelilla Municipality,490.0,49.85,982.95,3028.0
Ope,Östersund Municipality,453.0,84.71,534.77,7936.0
Optand,Östersund Municipality,257.0,64.08,401.06,7942.0
Ormanäs och Stanstorp,Höör Municipality,438.0,143.94,304.29,3634.0
Ornäs,Borlänge Municipality,1068.0,94.83,1126.23,6692.0
Orrefors,Nybro Municipality,719.0,123.02,584.46,2356.0
Orrviken,Östersund Municipality,262.0,55.49,472.16,7938.0
Orsa,Orsa Municipality,5308.0,1258.67,421.71,6696.0
Osby,Osby Municipality,7157.0,826.82,865.61,3032.0
Osbyholm,Hörby Municipality,269.0,40.20,669.15,3636.0
Oskar-Fredriksborg,Vaxholm Municipality,722.0,131.20,550.30,268.0
Oskarshamn,Oskarshamn Municipality,17258.0,1310.01,1317.39,2360.0
Oskarström,Halmstad Municipality,4071.0,349.06,1166.28,4056.0
Ostvik,Skellefteå Municipality,387.0,73.33,527.75,8284.0
Otterbäcken,Gullspång Municipality,722.0,146.62,492.43,5396.0
Ovanåker,Ovanåker Municipality,212.0,70.00,302.86,7240.0
Ovesholm,Kristianstad Municipality,299.0,19.00,1573.68,3034.0
Oxelösund,Oxelösund Municipality,10870.0,1157.12,939.40,820.0
Oxie,Malmö Municipality,11493.0,429.22,2677.65,3640.0
Pajala,Pajala Municipality,1958.0,377.83,518.22,8780.0
Parksidan,Ekerö Municipality,494.0,22.78,2168.57,182.0
Pauliström,Vetlanda Municipality,221.0,62.32,354.62,1620.0
Persberg,Filipstad Municipality,313.0,147.13,212.74,5784.0
Persbo,Ludvika Municipality,344.0,130.90,262.80,6920.0
Pershagen,Södertälje Municipality,2216.0,93.38,2373.10,272.0
Perstorp,Perstorp Municipality,5665.0,543.05,1043.18,3036.0
Persön,Luleå Municipality,223.0,45.31,492.17,8788.0
Pilgrimstad,Bräcke Municipality,386.0,63.18,610.95,7944.0
Piperskärr,Västervik Municipality,551.0,63.37,869.50,2364.0
Piteå,Piteå Municipality,22913.0,2473.64,926.29,8792.0
Porjus,Jokkmokk Municipality,328.0,73.83,444.26,8796.0
Pukavik,Sölvesborg Municipality Karlshamn Municipality,279.0,60.76,459.18,2724.0
Påarp,Helsingborg Municipality,2789.0,159.70,1746.40,3644.0
Pålsboda,Hallsberg Municipality,1552.0,146.43,1059.89,6088.0
Påläng,Kalix Municipality,278.0,88.66,313.56,8804.0
Påryd,Kalmar Municipality,651.0,115.18,565.20,2368.0
Påskallavik,Oskarshamn Municipality,1083.0,112.38,963.69,2372.0
Rabbalshede,Tanum Municipality,275.0,58.34,471.37,4532.0
Raksta,Tyresö Municipality,746.0,179.42,415.78,274.0
Ramdala,Karlskrona Municipality,217.0,41.90,517.90,2728.0
Ramnäs,Surahammar Municipality,1465.0,213.68,685.60,6296.0
Ramsberg,Lindesberg Municipality,257.0,127.97,200.83,6092.0
Ramsele,Sollefteå Municipality,968.0,196.67,492.20,7628.0
Ramstalund,Uppsala Municipality,311.0,23.17,1342.25,606.0
Ramvik,Härnösand Municipality Kramfors Municipality,691.0,188.92,365.76,7632.0
Ransta,Sala Municipality,881.0,107.15,822.21,6300.0
Rappestad,Linköping Municipality,235.0,32.76,717.34,1212.0
Reftele,Gislaved Municipality,1282.0,159.86,801.95,1624.0
Rejmyre,Finspång Municipality,900.0,114.79,784.04,1216.0
Rengsjö,Bollnäs Municipality,264.0,58.56,450.82,7252.0
Repbäcken,Borlänge Municipality,220.0,66.84,329.14,6704.0
Resarö,Vaxholm Municipality,2946.0,309.90,950.63,276.0
Revingeby,Lund Municipality,545.0,65.37,833.72,3648.0
Riala,Norrtälje Municipality,215.0,54.49,394.57,278.0
Riddarhyttan,Skinnskatteberg Municipality,431.0,156.14,276.03,6304.0
Rimbo,Norrtälje Municipality,4629.0,257.15,1800.12,280.0
Rimforsa,Kinda Municipality,2238.0,212.57,1052.83,1220.0
Ringarum,Valdemarsvik Municipality,577.0,92.25,625.47,1224.0
Ringsegård,Falkenberg Municipality,446.0,50.25,887.56,4058.0
Rinkaby,Kristianstad Municipality,745.0,110.53,674.03,3040.0
Rinkabyholm,Kalmar Municipality,1607.0,120.66,1331.84,2376.0
Risögrund,Kalix Municipality,697.0,90.83,767.37,8812.0
Rixö,Lysekil Municipality,357.0,123.54,288.98,4540.0
Robertsfors,Robertsfors Municipality,2004.0,215.19,931.27,8292.0
Rockhammar,Lindesberg Municipality,270.0,99.67,270.89,6096.0
Rockneby,Kalmar Municipality,869.0,163.33,532.05,2380.0
Roknäs,Piteå Municipality,1238.0,305.36,405.42,8816.0
Rolfhamre och Måga,Ljusdal Municipality,215.0,51.69,415.94,7210.0
Rolfs,Kalix Municipality,1061.0,207.75,510.71,8820.0
Rolfstorp,Varberg Municipality,513.0,74.84,685.46,4060.0
Roma kyrkby (Lövsta),Gotland Municipality,261.0,89.28,292.34,2534.0
Roma (Romakloster),Gotland Municipality,913.0,125.63,726.74,2532.0
Ronneby,Ronneby Municipality,12029.0,774.95,1552.23,2732.0
Ronnebyhamn,Ronneby Municipality,537.0,129.89,413.43,2734.0
Rosenfors,Hultsfred Municipality,281.0,70.83,396.72,2384.0
Rosenlund,Tranemo Municipality,316.0,33.70,937.69,4988.0
Rosersberg,Sigtuna Municipality,1671.0,183.62,910.03,284.0
Rossön,Strömsund Municipality,352.0,153.53,229.27,7948.0
Rosvik,Piteå Municipality,1735.0,192.84,899.71,8824.0
Rot,Älvdalen Municipality,695.0,264.93,262.33,6708.0
Roteberg,Ovanåker Municipality,393.0,80.87,485.97,7256.0
Rottne,Växjö Municipality,2354.0,187.79,1253.53,1956.0
Rottneros,Sunne Municipality,448.0,158.11,283.35,5788.0
Ruda,Högsby Municipality,613.0,119.81,511.64,2388.0
Rundvik,Nordmaling Municipality,817.0,183.20,445.96,8296.0
Runemo,Ovanåker Municipality,263.0,66.43,395.91,7258.0
Runhällen,Heby Municipality,217.0,49.81,435.66,6308.0
Runtuna,Nyköping Municipality,250.0,34.98,714.69,828.0
Rusksele,Lycksele Municipality,200.0,63.31,315.91,8300.0
Rutvik,Luleå Municipality,839.0,73.76,1137.47,8828.0
Rya,Härryda Municipality,290.0,61.83,469.03,4542.0
Ryd,Tingsryd Municipality,1415.0,206.32,685.83,1960.0
Rydaholm,Värnamo Municipality,1474.0,149.05,988.93,1632.0
Rydal,Mark Municipality,402.0,54.88,732.51,4992.0
Rydbo,Österåker Municipality,582.0,35.10,1658.12,292.0
Rydboholm,Borås Municipality,1023.0,125.70,813.84,4996.0
Rydebäck,Helsingborg Municipality Landskrona Municipality,5141.0,208.44,2466.42,3652.0
Rydsgård,Skurup Municipality,1361.0,116.44,1168.84,3656.0
Rydsnäs,Ydre Municipality,277.0,74.67,370.97,1228.0
Rydöbruk,Hylte Municipality,388.0,113.74,341.13,4068.0
Ryssby,Ljungby Municipality,707.0,109.57,645.25,1964.0
Rälla,Borgholm Municipality,407.0,79.64,511.05,2266.0
Rängs sand,Vellinge Municipality,808.0,55.69,1450.89,3658.0
Ränneslöv,Laholm Municipality,413.0,69.43,594.84,4072.0
