Townland,s Acre,Barony,Civil parish,Poor law union
Nicholastown,538.0,Ikeathy and Oughterany,Cloncurry,Celbridge
Nicholastown,425.0,Kilcullen,Kilcullen,Naas
Nunsland,87.0,Naas North,Rathmore,Naas
Nurney,258.0,Offaly West,Nurney,Athy
Nurney,364.0,Carbury,Nurney,Edenderry
Nurney Bog,147.0,Offaly West,Nurney,Athy
Nurney Demesne,334.0,Offaly West,Nurney,Athy
Oakleypark,103.0,North Salt,Kildrought,Celbridge
Oghil,1186.0,Offaly West,Monasterevin,Athy
Oldcarton,288.0,North Salt,Laraghbryan,Celbridge
Oldconnell,677.0,Connell,Oldconnell,Naas
Oldcourt,646.0,Narragh and Reban West,Kilberry,Athy
Oldcourt,361.0,Carbury,Kilmore,Edenderry
Oldgrange,15.0,Narragh and Reban East,Fontstown,Athy
Oldgrange,402.0,Offaly West,Monasterevin,Athy
Oldgrange,363.0,Narragh and Reban East,Narraghmore,Athy
Oldkilcullen,792.0,Kilcullen,Kilcullen,Naas
Oldmilltown.,165.0,South Salt,Kilteel,Naas
Oldtown,251.0,North Salt,Kildrought,Celbridge
Oldtown,179.0,Connell,Greatconnell,Naas
Oldtown,169.0,Naas South,Killashee,Naas
Oldtown,21.0,South Salt,Kilteel,Naas
Oldtown,134.0,Naas North,Naas,Naas
Oldtown Demesne,161.0,Naas North,Naas,Naas
Oldtowndonore,1015.0,Clane,Downings,Naas
Osberstown,1316.0,Naas North,Naas,Naas
Oughterard,388.0,South Salt,Oughterard,Naas
Ovidstown,334.0,Ikeathy and Oughterany,Cloncurry,Celbridge
Ovidstown,54.0,North Salt,Straffan,Celbridge
Ovidstown,211.0,North Salt,Taghadoe,Celbridge
Painestown,554.0,Ikeathy and Oughterany,Balraheen,Celbridge
Painestown,423.0,South Salt,Kill,Naas
Palmerstown,119.0,Naas North,Johnstown,Naas
Palmerstown Demesne,691.0,Naas North,Johnstown,Naas
Parsonstown,126.0,North Salt,Donaghcumper,Celbridge
Parsonstown,510.0,Carbury,Ardkill,Edenderry
Passlands,104.0,Offaly West,Monasterevin,Athy
Paudeenourstown,52.0,Narragh and Reban West,Kilberry,Athy
Philipstown,175.0,Naas North,Rathmore,Naas
Piercetown,165.0,Connell,Morristownbiller,Naas
Pipershall,176.0,Naas North,Rathmore,Naas
Pitchfordstown,408.0,Ikeathy and Oughterany,Cloncurry,Celbridge
Ploopluck,153.0,Naas North,Naas,Naas
Pluckerstown,565.0,Connell,Kilmeage,Naas
Pluckerstown,346.0,Offaly East,Kilmeage,Naas
Pluckstown,195.0,South Salt,Lyons,Celbridge
Plunketstown Lower,295.0,Kilkea and Moone,Graney,Baltinglass
Plunketstown Upper,342.0,Kilkea and Moone,Graney,Baltinglass
Pollagorteen,276.0,Offaly West,Lackagh,Athy
Pollardstown,1063.0,Offaly East,Pollardstown,Naas
Portersize,514.0,Narragh and Reban East,Timolin,Baltinglass
Porterstown,98.0,South Salt,Kilteel,Naas
Portgloriam,479.0,Ikeathy and Oughterany,Kilcock,Celbridge
Posseckstown,252.0,North Salt,Killadoon,Celbridge
Prospect,223.0,Naas North,Sherlockstown,Naas
Prumpelstown Lower,286.0,Kilkea and Moone,Castledermot,Athy
Prumpelstown Upper,218.0,Kilkea and Moone,Castledermot,Athy
Prusselstown,69.0,Narragh and Reban West,Kilberry,Athy
Prusselstown,173.0,Narragh and Reban West,St. Michaels,Athy
Pullagh,208.0,Offaly West,Harristown,Athy
Punchersgrange,710.0,Connell,Feighcullen,Naas
Punchestown,52.0,Naas South,Tipperkevin,Naas
Punchestown Great,323.0,Naas North,Rathmore,Naas
Punchestown Little,121.0,Naas North,Rathmore,Naas
Punchestown Lower,467.0,Naas North,Rathmore,Naas
Punchestown Upper,264.0,Naas North,Rathmore,Naas
Quinsborough,147.0,South Salt,Oughterard,Naas
Quinsborough (or Coolsicken),617.0,Offaly West,Lackagh,Athy
Quqrry,224.0,Narragh and Reban West,Churchtown,Athy
Racefield,192.0,Offaly West,Ballyshannon,Athy
Raheen,157.0,Ikeathy and Oughterany,Balraheen,Celbridge
Raheen Old,67.0,Ikeathy and Oughterany,Balraheen,Celbridge
Raheenadeeragh,367.0,Narragh and Reban West,Churchtown,Athy
Raheens,540.0,Clane,Carragh,Naas
Rahilla Commons,8.0,Offaly East,Dunmurry,Naas
Rahilla Commons,11.0,Offaly East,Kildare,Naas
Rahilla Glebe,506.0,Offaly East,Kildare,Naas
Rahin,656.0,Carbury,Carrick,Edenderry
Rahoonbeak,325.0,Narragh and Reban East,Narraghmore,Athy
Railpark,366.0,North Salt,Laraghbryan,Celbridge
Rathangan,1004.0,Offaly East,Rathangan,Edenderry
Rathangan Demesne,561.0,Offaly East,Rathangan,Edenderry
Rathasker,132.0,Naas North,Killashee,Naas
Rathasker,167.0,Naas North,Naas,Naas
Rathbane,447.0,South Salt,Kilteel,Naas
Rathbride,1052.0,Offaly East,Tully,Naas
Rathcoffey Demesne,222.0,Ikeathy and Oughterany,Balraheen,Celbridge
Rathcoffey North,216.0,Ikeathy and Oughterany,Balraheen,Celbridge
Rathcoffey South,255.0,Ikeathy and Oughterany,Balraheen,Celbridge
Rathconnell,374.0,Offaly West,Fontstown,Athy
Rathconnell Wood,517.0,Offaly West,Fontstown,Athy
Rathernan,511.0,Connell,Rathernan,Naas
Rathgorragh,159.0,South Salt,Kill,Naas
Rathgrumly,210.0,Narragh and Reban West,Narraghmore,Athy
Rathmore,521.0,Carbury,Ardkill,Edenderry
Rathmore,417.0,Naas North,Bodenstown,Naas
Rathmore East,377.0,Naas North,Rathmore,Naas
Rathmore West,927.0,Naas North,Rathmore,Naas
Rathmuck,297.0,Offaly West,Duneany,Athy
Rathsillagh Lower,173.0,Narragh and Reban East,Fontstown,Athy
Rathsillagh Upper,342.0,Narragh and Reban East,Fontstown,Athy
Rathstewart,52.0,Narragh and Reban West,St. Michaels,Athy
Rathwalkin,245.0,Offaly East,Kildare,Edenderry
Ravensdale,186.0,North Salt,Laraghbryan,Celbridge
Redbog,459.0,Naas North,Rathmore,Naas
Redhills,332.0,Offaly East,Kildare,Edenderry
Reeves,221.0,South Salt,Donaghcumper,Celbridge
Richardstown,587.0,Ikeathy and Oughterany,Mainham,Celbridge
Rickardstown,145.0,Connell,Morristownbiller,Naas
Rickardstown Lower,490.0,Offaly West,Harristown,Athy
Rickardstown Upper,232.0,Offaly West,Harristown,Athy
Rinaghan,51.0,Carbury,Carrick,Edenderry
Rinawade Lower,47.0,North Salt,Donaghcumper,Celbridge
Rinawade Upper,87.0,North Salt,Donaghcumper,Celbridge
Riverstown,240.0,Offaly West,Ballybrackan,Athy
Robertstown East,336.0,Connell,Kilmeage,Naas
Robertstown West,269.0,Connell,Kilmeage,Naas
Rochestown,113.0,Naas South,Gilltown,Naas
Rock,188.0,Offaly West,Kilrush,Athy
Roestown,228.0,Ikeathy and Oughterany,Kilcock,Celbridge
Roosk,177.0,North Salt,Taghadoe,Celbridge
Rosberry,1054.0,Connell,Morristownbiller,Naas
Rosbran,91.0,Narragh and Reban West,St. John's,Athy
Roscolvin,191.0,Kilkea and Moone,Castledermot,Baltinglass
Rosetown,429.0,Kilkea and Moone,Tankardstown,Athy
Rosetown,416.0,Connell,Greatconnell,Naas
Roundhills,59.0,Narragh and Reban West,St. John's,Athy
Rowanstown,130.0,North Salt,Laraghbryan,Celbridge
Royaloak,362.0,Carbury,Ballynadrumny,Edenderry
Russellstown,196.0,Narragh and Reban West,Kilberry,Athy
Russellstown,382.0,Connell,Rathernan,Naas
Russellswood,151.0,Carbury,Carrick,Edenderry
Saintjohns,458.0,Kilkea and Moone,Castledermot,Baltinglass
Salisbury,63.0,Narragh and Reban West,Kilberry,Athy
Sallins,206.0,Naas North,Bodenstown,Naas
Sallymount Demesne,223.0,Naas South,Brannockstown,Naas
Sawyerswood,206.0,Narragh and Reban West,Kilberry,Athy
Scarletstown,216.0,Connell,Morristownbiller,Naas
Seasons,114.0,Naas South,Ballymore Eustace,Naas
Segravescastle,30.0,Naas North,Rathmore,Naas
Shamrocklodge,25.0,Narragh and Reban West,St. John's,Athy
Shanacloon,189.0,Offaly East,Ballyshannon,Naas
Shanraheen,164.0,Narragh and Reban West,Kilberry,Athy
Shanrath,6.0,Narragh and Reban West,St. John's,Athy
Shanrath East,123.0,Narragh and Reban West,St. Michaels,Athy
Shanrath West,111.0,Narragh and Reban West,St. Michaels,Athy
Sheean,163.0,Narragh and Reban West,Churchtown,Athy
Sheean,426.0,Narragh and Reban West,Kilberry,Athy
Sheean,316.0,Offaly East,Rathangan,Edenderry
Sheriffhill,393.0,Kilkea and Moone,Killelan,Baltinglass
Sherlockstown,556.0,Naas North,Sherlockstown,Naas
Sherlockstown Common,138.0,Naas North,Sherlockstown,Naas
Sheshoon,316.0,Offaly East,Ballysax,Naas
Shindala,158.0,Offaly West,Lackagh,Athy
Shortwood,104.0,Naas North,Whitechurch,Naas
Sillagh,326.0,Naas South,Kill,Naas
Silliothill,258.0,Naas South,Carnalway,Naas
Silliothill,166.0,Offaly East,Moone,Naas
Silverhill Lower,83.0,Naas South,Ballymore Eustace,Naas
Silverhill Upper,146.0,Naas South,Ballymore Eustace,Naas
Simmonstown,300.0,South Salt,Donaghcumper,Celbridge
Simonstown East,62.0,Kilkea and Moone,Killelan,Baltinglass
Simonstown West,413.0,Kilkea and Moone,Killelan,Baltinglass
Sion,164.0,North Salt,Laraghbryan,Celbridge
Skeagh,65.0,South Salt,Lyons,Celbridge
Skenagun,222.0,Kilkea and Moone,Castledermot,Baltinglass
Skerries North,506.0,Narragh and Reban West,Narraghmore,Athy
Skerries South,301.0,Narragh and Reban West,Narraghmore,Athy
Skirteen,89.0,Offaly West,Monasterevin,Athy
Slate Quarries,18.0,Naas South,Tipperkevin,Naas
Slatequarries,143.0,Naas North,Rathmore,Naas
Slieveroe,282.0,Naas South,Tipperkevin,Naas
Smallford,351.0,Narragh and Reban West,Kilberry,Athy
Smithstown,232.0,North Salt,Taghadoe,Celbridge
Snugburrow,225.0,Kilkea and Moone,Tankardstown,Athy
Sousheen Common,7.0,Naas South,Ballymore Eustace,Naas
Southgreen,30.0,Offaly East,Kildare,Naas
Southgreen,264.0,Offaly East,Tully,Naas
Spratstown,319.0,Narragh and Reban East,Narraghmore,Baltinglass
Srowland,121.0,Narragh and Reban West,Kilberry,Athy
St Catherines,25.0,North Salt,Confey,Celbridge
St Catherines Park,799.0,North Salt,Leixlip,Celbridge
St. Wolstans,110.0,South Salt,Donaghcumper,Celbridge
Stacumny,155.0,South Salt,Stacumny,Celbridge
Stacumny Cottage,135.0,South Salt,Stacumny,Celbridge
Staplestown,625.0,Clane,Ballynafagh,Naas
Stephenstown North,252.0,Naas South,Killashee,Naas
Stephenstown South,236.0,Naas South,Killashee,Naas
Stickins,279.0,Clane,Carragh,Naas
Straffan,215.0,North Salt,Straffan,Celbridge
Straffan Demesne,214.0,North Salt,Straffan,Celbridge
Straleek,9.0,South Salt,Donaghcumper,Celbridge
Stramillian,106.0,Offaly West,Monasterevin,Athy
Strawhall,40.0,Offaly East,Kildare,Naas
Suncroft,81.0,Offaly East,Carn,Naas
Sunnyhill,394.0,Kilcullen,Kilcullen,Naas
Swordlestown North,549.0,Naas South,Kill,Naas
Swordlestown South,476.0,Naas South,Kill,Naas
Taghadoe,506.0,North Salt,Taghadoe,Celbridge
Tanderagee,190.0,Carbury,Mylerstown,Edenderry
Tankardsgarden,507.0,Connell,Oldconnell,Naas
Tankardstwon,331.0,Kilkea and Moone,Kineagh,Baltinglass
Tawnrush,223.0,Offaly West,Kilrush,Athy
Teelough,128.0,Carbury,Kilmore,Edenderry
Thomastown,396.0,Kilcullen,Tully,Athy
Thomastown,566.0,Carbury,Cadamstown,Edenderry
Thomastown,148.0,Clane,Carragh,Naas
Thomastown East,583.0,Offaly East,Thomastown,Edenderry
Thomastown West,270.0,Offaly East,Thomastown,Edenderry
Thornberry,159.0,South Salt,Kill,Naas
Thornhill,45.0,North Salt,Kildrought,Celbridge
Ticknevin,2335.0,Carbury,Kilpatrick,Edenderry
Timahoe East,2193.0,Clane,Timahoe,Naas
Timahoe West,795.0,Clane,Timahoe,Naas
Timard,129.0,North Salt,Laraghbryan,Celbridge
Timolin,1102.0,Narragh and Reban East,Timolin,Baltinglass
Tinnakill,229.0,Narragh and Reban West,Narraghmore,Athy
Tinnycross,67.0,Naas South,Ballymore Eustace,Naas
Tippeenan Lower,185.0,Offaly West,Fontstown,Athy
Tippeenan Upper,185.0,Offaly West,Fontstown,Athy
Tipper East,249.0,Naas North,Tipper,Naas
Tipper North,176.0,Naas North,Tipper,Naas
Tipper South,433.0,Naas North,Tipper,Naas
Tipper West,173.0,Naas North,Tipper,Naas
Tipperkevin,278.0,Naas South,Tipperkevin,Naas
Tipperstown,99.0,South Salt,Castledillon,Celbridge
Tirmoghan Common,46.0,Ikeathy and Oughterany,Cloncurry,Celbridge
Tobercocka,88.0,Offaly West,Lackagh,Athy
Toberogan,154.0,Kilcullen,Kilcullen,Naas
Toberton,131.0,Naas North,Johnstown,Naas
Toghereen,152.0,Offaly West,Lackagh,Athy
Togherorymore,143.0,Offaly West,Lackagh,Athy
Tomard,413.0,Narragh and Reban West,Kilberry,Athy
Tonaphuca (or Flemingtown South),448.0,Naas South,Killashee,Naas
Tonlegee,71.0,Narragh and Reban West,St. John's,Athy
Toolestown,186.0,North Salt,Taghadoe,Celbridge
Townparks,95.0,Kilkea and Moone,Castledermot,Athy
Townparks,128.0,Narragh and Reban West,Churchtown,Athy
Townparks,118.0,Narragh and Reban West,St. Michaels,Athy
Treadstown,195.0,North Salt,Laraghbryan,Celbridge
Tuckmilltown,245.0,South Salt,Oughterard,Naas
Tully East,1166.0,Offaly East,Tully,Naas
Tully West,624.0,Offaly East,Tully,Naas
Tullygorey,198.0,Narragh and Reban West,Kilberry,Athy
Tullylost,452.0,Offaly East,Rathangan,Edenderry
Turnerstown,131.0,Narragh and Reban East,Moone,Athy
Turnings,52.0,Naas North,Whitechurch,Naas
Turnings Lower,523.0,Naas North,Whitechurch,Naas
Turnings Upper,278.0,Naas North,Whitechurch,Naas
Tyrrellstown,259.0,Narragh and Reban West,Kilberry,Athy
Ummeras Beg,162.0,Offaly West,Lackagh,Athy
Ummeras More,595.0,Offaly West,Lackagh,Athy
Usk,565.0,Narragh and Reban East,Usk,Naas
Usk Little,53.0,Narragh and Reban East,Usk,Naas
Walshestown,667.0,Connell,Greatconnell,Naas
Walshestown,106.0,Naas North,Rathmore,Naas
Walshestown,160.0,Naas South,Tipperkevin,Naas
Walterstown,1039.0,Offaly West,Walterstown,Athy
Walterstown,324.0,Naas South,Carnalway,Naas
Walterstown Lower,265.0,Offaly West,Walterstown,Athy
Watergrange,368.0,Offaly East,Grangeclare,Edenderry
Waterstown,438.0,Clane,Brideschurch,Naas
Westown,155.0,Naas North,Johnstown,Naas
Wevil,23.0,Offaly West,Ballyshannon,Athy
Wheatfield Lower,204.0,South Salt,Castledillon,Celbridge
Wheatfield Upper,136.0,South Salt,Castledillon,Celbridge
Wheelam,417.0,Connell,Feighcullen,Naas
Whitechurch,72.0,Naas North,Whitechurch,Naas
Whitehouse,223.0,Offaly West,Fontstown,Athy
Whiteleas,129.0,Naas South,Ballybought,Naas
Whitesland East,111.0,Offaly East,Kildare,Naas
Whitesland West,143.0,Offaly East,Kildare,Naas
Williamstown,376.0,Carbury,Nurney,Edenderry
Willsgrove,81.0,Narragh and Reban West,Kilberry,Athy
Windgates,331.0,North Salt,Taghadoe,Celbridge
Windmill,282.0,Carbury,Kilmore,Edenderry
Wolfestown,452.0,Naas North,Rathmore,Naas
Woodlands East,398.0,Kilkea and Moone,Castledermot,Athy
Woodlands West,389.0,Kilkea and Moone,Castledermot,Athy
Woodstock North,231.0,Narragh and Reban West,Churchtown,Athy
Woodstock North,225.0,Narragh and Reban West,Churchtown,Athy
Yellowbogcommon,289.0,Kilcullen,Kilcullen,Naas
Yeomanstown,426.0,Clane,Carragh,Naas
